时间,第一产业固定资产投资额累计增长(%),农林牧渔水利业固定资产投资额累计增长(%),第二产业固定资产投资额累计增长(%),工业固定资产投资额累计增长(%),能源工业固定资产投资额累计增长(%),煤炭固定资产投资额累计增长(%),石油固定资产投资额累计增长(%),电力固定资产投资额累计增长(%),原材料工业固定资产投资额累计增长(%),冶金固定资产投资额累计增长(%),有色固定资产投资额累计增长(%),化工固定资产投资额累计增长(%),森林固定资产投资额累计增长(%),机械电子工业固定资产投资额累计增长(%),机械固定资产投资额累计增长(%),电子固定资产投资额累计增长(%),轻纺工业固定资产投资额累计增长(%),纺织固定资产投资额累计增长(%),轻工固定资产投资额累计增长(%),其他工业固定资产投资额累计增长(%),建筑业固定资产投资额累计增长(%),第三产业固定资产投资额累计增长(%),运输邮电通信业固定资产投资额累计增长(%),邮电通信业固定资产投资额累计增长(%),商业饮食供销仓储业固定资产投资额累计增长(%),房地产公用服务咨询业固定资产投资额累计增长(%),文教卫生广播福利业固定资产投资额累计增长(%),科研综合技术服务业固定资产投资额累计增长(%),金融保险业固定资产投资额累计增长(%),其他行业固定资产投资额累计增长(%)
2000年3月,5,5,5.1,5.6,12.1,-38.5,-3.9,19.5,-7,-30.4,48.3,7.5,-31.9,-4.2,-20.2,35.7,10,-7.1,13.8,-2.2,-20.2,10.7,2.3,26.8,-10.1,18.6,10.9,98.9,14.3,1.9
2000年2月,18.2,18.2,7.7,8.2,11.3,6.2,31.2,6.9,-3.6,-20.4,177.3,-1.5,-71.2,18.5,12.7,27.4,4.2,20.7,2.4,5.8,-19.8,8.6,-7.8,10.2,-7.6,22.4,19.8,74.5,20.8,-8.7
2000年1月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年12月,22.9,22.9,-1.5,-2,-1.9,-25.7,-11.4,4.5,-1.7,-13,-11.4,8.1,105.7,-0.9,-1,-0.8,-3,-19.5,0.6,-3.4,18.1,10,0.6,-3.6,11.4,16.9,17.2,32.9,-20.3,17.1
1999年11月,33.2,33.2,-4.2,-4.7,-5.6,-34.3,-13.2,0.3,-1.5,-1.7,,-1.8,11.8,-3.9,-5.3,-1.1,-4.8,-26.3,0.4,-7.5,22.6,12.1,3.1,-8.2,12.8,20.3,15,14,-15.4,18.3
1999年10月,43.8,43.8,-3.6,-4.3,-6.1,-36.4,-13.1,-0.4,0.9,1.1,-2.4,1.2,20.4,1.4,0.6,3,-6.2,-29,-0.3,-7.9,30.4,11.6,2.2,-8.4,3.1,20.1,15.2,10.5,-14.4,20.5
1999年9月,53.2,53.2,-4.3,-4.9,-7.4,-37.4,-14.8,-1.4,2.6,2,-0.1,3.5,10.5,-1.3,-5.5,7.5,-5.3,-29.4,1.1,-7.9,24.3,13.7,5.5,-11.9,0.2,20.4,17.1,22.1,-13.5,26
1999年8月,67.8,67.8,-2.9,-3.4,-5.6,-37.5,-19.9,3.5,5.2,7.7,-3.5,5,13.6,-0.4,-3.2,5.5,-5.2,-26.3,0.4,-8.8,22,16.4,9.5,-16.8,3.9,21.4,21.1,16.7,-10.7,28.2
1999年7月,73.6,73.6,-1.6,-2.3,-4.7,-35.1,-23.6,6.5,1.3,7.5,-6.7,-1.6,-1.4,3.1,3.6,2.2,-1.8,-29.9,6.4,-0.9,31.5,19.4,15.2,-11.4,4.6,23.4,21.1,20.6,-9.8,27.8
1999年6月,76.8,76.8,-2.4,-3.1,-7.2,-34.3,-26.1,3.9,2.7,12.3,-4,-3.2,15.3,5.4,8.3,0.3,1.6,-35,13.2,-6.6,35,24.3,27,-7.4,11.5,22.8,23.8,17.7,-11.2,32.3
1999年5月,81.6,81.6,-2.6,-3.1,-7.7,-37.5,-30.1,5.5,5.1,15.5,-6.3,-0.5,-20.9,9.2,14.6,0.1,-5.2,-34.9,4.3,-1.5,30.5,28.9,34.8,3.6,18.2,25,28.6,25.3,-4.2,36.3
1999年4月,85.5,85.5,-2.3,-3.1,-7.2,-43.9,-31.5,7.8,5.1,19.5,,-5.1,-32.8,-0.3,17.4,-26.9,1.4,-30,11.6,-2,49.4,30.2,38.1,8,15,25.7,30.7,18.7,3.7,34.8
1999年3月,122.1,122.1,2.3,1.2,-0.8,-13.6,-21.8,8.9,8.5,14.5,6.6,3.8,-51.8,14.2,45,-25.3,0.1,-28.6,9.7,-22.3,93.1,34.1,46,67,45.1,26.6,35.4,19.4,11.9,31.4
