数据库：年度数据,,,,,,,,,,,,,,,,
时间：1949-,,,,,,,,,,,,,,,,
时间,支出法生产总值(亿元),最终消费(亿元),居民消费(亿元),城镇居民消费(亿元),农村居民消费(亿元),政府消费(亿元),资本形成总额(亿元),固定资本形成总额(亿元),存货变动(亿元),货物和服务净出口(亿元),最终消费率(%),资本形成率(%),,固定资产投资占比,全社会固定资产投资,投资率
1972年,2456.7,1640.7,1334.2,,,306.5,797.6,628.6,169,18.4,,,0.255871698,0.324663166,,
1971年,2395.1,1553,1262,,,291,826.4,610.4,216,15.6,,,0.25485366,0.345037785,,
1970年,2208.3,1456.7,1206.8,,,249.9,749.3,550.3,199,2.3,,,0.249196214,0.339310782,,
1969年,1861.2,1358,1127.7,,,230.3,490.7,411.7,79,12.4,,,0.221201375,0.263647109,,
1968年,1713,1270.7,1076.6,,,194.1,434.9,302.9,132,7.4,,,0.176824285,0.253882078,,
1967年,1711.6,1277.2,1081.5,,,195.7,428.1,326.1,102,6.3,,,0.190523487,0.25011685,,
1966年,1830.7,1249.4,1021.1,,,228.3,575.2,412.2,163,6.1,,,0.225159775,0.314196755,,
1965年,1634.3,1155.9,951.5,,,204.4,469.9,357.9,112,8.5,,,0.218992841,0.28752371,,
1964年,1446.8,1076,889.6,,,186.4,357.9,297.9,60,12.9,,,0.205902682,0.247373514,,
1963年,1298.3,1013.2,844.2,,,169,271.7,221.7,50,13.5,,,0.170761765,0.209273666,,
1962年,1181.7,986.2,838.7,,,147.5,182.9,179.9,3,12.6,,,0.152238301,0.154777016,,
1961年,1279.3,992.9,816.7,,,176.2,281,234,47,5.4,,,0.18291253,0.219651372,,
1960年,1506.9,924.6,741.7,,,182.9,581.9,479.9,102,0.4,,,0.318468379,0.386157011,,
1959年,1446.4,817,691.2,,,125.8,621.2,435.2,186,8.2,,,0.300884956,0.429480088,,
1958年,1286.1,850,724,,,126,429.6,330.6,99,6.5,,,0.257056216,0.334033123,,
1957年,1099,815.4,686.6,,,128.8,278.1,185.1,93,5.5,,,0.168425842,0.253048226,,
1956年,1030.1,771.3,646.8,,,124.5,254.8,216.8,38,4,,,0.210465003,0.247354626,,
1955年,931.8,721.9,602.6,,,119.3,218.9,142.9,76,-8.9,,,0.15335909,0.234921657,,
1954年,875,653.9,550,,,103.9,223.9,137.9,86,-2.7,,,0.1576,0.255885714,,
1953年,831.5,644.4,529.2,,,115.2,195.6,112.6,83,-8.4,,,0.135417919,0.235237523,,
1952年,690.2,546.3,453,,,93.3,151.8,78.8,73,-7.9,,,0.114169806,0.21993625,,
1951年,,,,,,,,,,,,,,,,
1950年,,,,,,,,,,,,,,,,
1949年,,,,,,,,,,,,,,,,
数据来源：国家统计局,,,,,,,,,,,,,,,,
